id,Item name*,Category,Current stock,Selling price,Sales tax included,Purchase price,Purchase tax included,HSN,GST tax rate (%),MRP
a6dc38c0-d071-4c15-972d-6cc56e6e251d,Kelloggs Muesli Nut Delight 500g 315.00,,3,300,Without tax,286.3,Without tax,,0,315
1277c1d9-a7dd-4c33-aa8b-dd717a5808b3,Kelloggs Real Honey 300g 140.00,,3,135,Without tax,127.27,Without tax,,0,140
14008596-7026-438a-8095-53a3c4b52533,Kelloggs Strawberry 300g 140.00,,3,135,Without tax,127.27,Without tax,,0,140
01a40bb0-7a41-4ecb-bb4b-f061b60454b7,Kellogs Chocos 250g 125.00,,3,120,With tax,113.6,With tax,,0,125
a7bd1caf-d43a-451f-913a-34dce5ab894c,Keo Karpin Hair Oil 300ml,,3,120,Without tax,112.5,Without tax,,0,125
8a78f96d-fd41-46b3-8060-60d452023163,Keo Karpine Hair Oil 200ml 100.00,,3,95,With tax,90,With tax,,0,100
a0722829-e071-481d-87c0-89d4e09f7a09,Kesh Kanti Hair Oil 120ml 130.00,,6,124,With tax,110.93,With tax,,0,130
1f48f78c-1644-4593-9159-29af8b55f95d,Kesh King Oil 50ml 80.00,,6,76,With tax,72.73,With tax,,0,80
6f6055e5-25b4-49f7-9430-5d0133f4be38,Kesh King Shampoo 200ml 120.00,,6,114,With tax,99.27,With tax,,0,120
adbbb372-c864-4382-bbb5-9667ad91a2f8,Kesh King Shampoo 340ml 210.00,,3,200,Without tax,173.72,Without tax,,0,210
e0276d9e-6d78-4725-af29-2880c401c3b1,Keya Oregano 109.00,,6,105,With tax,89.38,With tax,,0,109
f85470fa-c7b2-4c0a-97a0-5dcacf3b0301,Keya Red Chilli Flakes 80.00,,6,76,Without tax,71.19,Without tax,,0,80
33e49d00-d3de-4ac1-835a-050013b0f42d,Kinder Joy 40.00,,32,40,Without tax,35.2,Without tax,,0,40
73f1c2f1-cf17-422d-a14a-1ab0df57f131,Kinley Soda 700ml 20.00,,24,20,Without tax,15.41,Without tax,,0,20
89647321-4cf2-4446-9786-0b716f7234b4,Kinley Water 1 Lit. 20.00,,60,20,With tax,11.73,With tax,,0,20
88e9af46-c99c-4dea-88d4-997277f75573,Kismish 10.00,,10,10,With tax,6.5,With tax,,0,10
fdbf58b7-5f30-4823-a4e5-e0e7e87cc917,Kismish Katora 250g 100.00,,48,100,With tax,65,With tax,,0,100
5c6e86d8-2cf5-4aea-9e34-12674866779d,Kismish Loose 340.00,,16,340,With tax,272,With tax,,0,340
2852dfad-405c-475c-9534-448f39b3b846,Kissan Mixed Fruit Jam 100g 20.00,,6,19,Without tax,18.35,Without tax,,0,20
edbb1702-8373-4963-b18a-2dafea7c41aa,Kissan Mixed Fruit Jam 200g,,6,64,Without tax,59.63,Without tax,,0,65
57935897-8212-40b1-8e23-c846abc0db97,Kissan Mixed Fruit Jam 500g 150.00,,6,144,Without tax,137.61,Without tax,,0,150
